0	Almost as tedious to watch as it was to read Evening is a gorgeously produced failure until Meryl Streep walks in and quietly shows her other cast members how to act this kind of stuff Vanessa Redgrave is shockingly off in her role as the dying Ann and Claire Danes is a cipher Perhaps if Vanessa and Claire had switched roles we could have seen the vibrancy in the young Ann that gave her entr e to the rarefied world of the story and we could have imagined that the older Ann actually was dying I was hoping the addition of Michael Cunningham to the writing credits would smooth out the jumpy storytelling but alas It gave me a headache
0	If you enjoy the original SNL cast and shows then avoid this movie at all costs When this first came out my friends and I waited in line for over an hour to get in to a sold out movie house half way through the movie the theatre was empty We refused to leave thinking it would get better When the movie ended we were the only ones left in the theatre The movie lasted only one day in all theaters then vanished from sight In interviews with Mr Mike he refused to comment on this film The film was an inside joke on the episodes of SNL that came out right after the films release and closing in one day We all tried to contact Mr Mike by phone and mail to get a refund but were totally ignored
1	Home Room deals with a Columbine like high school shooting but rather than hashing over the occurrence itself the film portrays the aftermath and what happened to the survivors their trauma guilt and denial Spoilers The shooting itself is treated as a foregone conclusion with no action footage other than the reaction of an almost teenage SWAT commando after shooting the high school killer The film has three protagonists the detective investigating the crime of which no guilty parties are left to convict and two teenage girls surviving the incident played by a very young Erika Christensen and Busy Philipps The two girls having nothing in common besides the shooting are put together because of it and the drama ensues Erika Christensen though only has been around the block so much that film viewers are pretty much acquainted with her solid and reliable style of acting Busy Philipps three years older than Christensen and altogether unknown to me blew me away with her overwhelming dramatic strength and screen presence This girl was the part It s a great movie and it connects to you with its intimate focus on the fragile yet growing relationship between the two traumatized girls Gus van Sant s Elephant though good seems almost superficial and paltry compared to Home Room when it comes to dramatic flair and acting What I can see this film got very little screen time and exposure so much more a loss for an equally traumatized America Ten out of Ten
0	This movie is just boring It tries to copy some effects borrowed to a creative director like Jeunet in Am lie Poulain but it is too much The dialogs are pretty bad some of the worst I have ever heard Guillaume Canet is not convincing I have almost never found him very convincing his father in the movie plays very badly the story is dumb the ending is stupid I think I have not dislike a movie so much since le pacte des loups brotherhood of the wolf from Christophe Gans and I watch see about movies a year but at least that movie had some action and lots of good actors I had never commented here only rated and when I saw the rating and the comments I thought I had to write something down I guess we won t have problems to sell the DVD we were offered not such a bad movie in our large collection I am open minded I watch SF westerns drama comedies silents horror fantasy movies but this movie was so boring that I felt like I had lost one hour and a half
1	I enjoyed this film perhaps because I had not seen any reviews etc It was delightful and a little bit of a romp I don t know why it didn t make more of a splash than it did As far as the story goes I could relate to some aspects of the Paul Reiser character and I could see my dad in Falk s character Made me remember a lot of past times when I was a kid and listening to my grandparents too If you enjoyed movies like Grumpy Old Men or On Golden Pond this is your movie A sleeper in my opinion and one of those feel good stories Peter Falk and Paul Reiser had many wonderful verbal tussles yet nothing was overdone I would say it rates at least an perhaps higher
0	Considering the limits of this film The entire movie in one setting a music studio only about or actors total it should have been much better made IF you have these limits in making a film how could the lighting be so bad And the actors were terrible were talking a hair below the acting in Clerks except that was an enjoyable movie this had no substance Well it tried to but really fails It makes attempt to be self referencing in a couple parts but the lines were delivered so poorly by the actors it was just bad And the main character Neal guy what a pathetic looser Clearly like people total made this film and they all knew each other and it probably was a real rock band that they had but unfortuntly these people really have no idea how terrible they are all around This was made in but they all look so naieve it smacks of just pre grunge era Thankfully I didn t pay to see this Starz on Demand delivers again but it was under the title The Possessed not Studio it doesn t matter what you do to the title it can t help this This could have been a much better made movie there is no excuse for this bad film making when you have the obvious limited parameters the filmmakers had when they made this working within those limits you should make the stuff you can control and the stuff you can work with the best you can Instead they figured mediocrity would be good enough And that music video wow that was bad I fast fowarded through that So is fair if you are into the whole b movie crap I suppose you ll go and see this
0	What the is this This must without a doubt be the biggest waste of film settings and camera ever I know you can t set your expectations for an s slasher high but this is too stupid to be true I baught this film for and I still feel the urge to go claim my money back Can you imagine who hard it STINKS Who is the violent killer in this film and what are his motivations Well actually you couldn t possible care less And why should you The makers of this piece of garbage sure didn t care They didn t try to create a tiny bit of tension The director Stephen Carpenter I guess it s much easier to find money with a name like that also made the Kindred wich was rather enjoyable and recently he did Soul Survivors Complete crap as well but at least that one had Eliza Dushku This junk has the debut of Daphne Zuniga Who Yeah that s right the Melrose Place chick Her very memorable character dies about min after the opening credits She s the second person to die The first victim dies directly in the first minute but nobody seems to mention or miss him afterwards so who cares The rest of the actors they don t deserve the term actors actually are completely uninteresting You re hoping they die a quick and painful death and not only their charactersMy humble opinion
0	I m so confused I ve been a huge Seagal fan for years I ve seen all of his films and many of those dozens of times I can only describe this film as bizarre Steven Seagal shares screenplay writing and producing credits on this film but I have a really tough time believing he would choose to dub over his own voice for so many of his lines with a thin whiny imposter s voice no less What I also don t get is if they had to dub SOME of his lines why does his own voice appear on the rest of them I expect Seagal to age like the rest of us But the Seagal in this movie barely exudes a fraction of the same swagger confidence bravado charm and sex appeal he so easily showed us in ALL of his previous movies What I found myself missing most of all was his cocky self assured attitude and his bad ass sneer that so easily shifts into that adorable grin Where is that in your face attitude and charm that made him such a huge star I hope that this film is not an indication of what Seagal has left to offer us if so his lifelong fans will have to concede that the Seagal we all knew and loved is gone
1	STAR RATING The Works Just Misses the Mark That Little Bit In Between Lagging Behind The Pits Mike Atherton Dudikoff is peacefully making his way in the Wild West when he spots a group of men mistreating a lady Being a gentleman he naturally steps in and puts a stop to this and in doing so kills the son of a nasty enforcer This is just the beginning of a all guns blazing battle to the finish from which there will be only one winner M Dudikoff is an action star who s never truly managed to take off with me Maybe I discovered him too late and after the other film I saw with him in it last Monday The Human Shield it was just another Dud ha ha added to the list But I have a thing for westerns being films that just sort of transport me to a different time and place and provide real escapist entertainment and with this Dudikoff has picked one of his better scripts as his films go anyway The film hits a few low points in the shape of a naff central villain sounding like a blank Marlon Brando and some generally ropey acting from some of the cast along with the obligatory cheap looking sets But if for some strange reason your life ever depended on watching a Dudikoff film this would be one of your best choices
1	My very favorite character in films but in nearly all of them the character of Zorro has a small bit of cloth as a mask and if the villain s can t tell who is under that cloth then they are daft But in Reed Hadley s Zorro s Fighting Legion serial the mask fills his whole face making it a real mystery as to who Zorro really is But anyway Zorro is one of the best character s in films and to bring it up to date l think Anthony Hopkins in The Mask of Zorro is a delight My interest in films is vast but l have a real liking for the serial s of the s s Bond a
